THICKNESS   POROSITY    VFRAC_COND  CRATE       VFRAC_BIND  TSTEP       
465.385     0.103125    0.045       0.5         0           0.5        
465.385     0.103125    0.051       0.5         0           0.5        
465.385     0.103125    0.055       0.5         0           0.5        
465.385     0.103125    0.06        0.5         0           0.5        
465.385     0.103125    0.07        0.5         0           0.5        
465.385     0.103125    0.08        0.5         0           0.5        
465.385     0.103125    0.09        0.5         0           0.5        
465.385     0.103125    0.1         0.5         0           0.5        
465.385     0.103125    0.15        0.5         0           0.5        
465.385     0.103125    0.2         0.5         0           0.5        
465.385     0.15625     0.02        0.5         0           0.5        
465.385     0.15625     0.03        0.5         0           0.5        
465.385     0.15625     0.04        0.5         0           0.5        
465.385     0.15625     0.045       0.5         0           0.5        
465.385     0.15625     0.051       0.5         0           0.5        
465.385     0.15625     0.055       0.5         0           0.5        
465.385     0.15625     0.06        0.5         0           0.5        
465.385     0.15625     0.07        0.5         0           0.5        
465.385     0.15625     0.08        0.5         0           0.5        
465.385     0.15625     0.09        0.5         0           0.5        
465.385     0.15625     0.1         0.5         0           0.5        
465.385     0.15625     0.15        0.5         0           0.5        
465.385     0.15625     0.2         0.5         0           0.5        
465.385     0.209375    0.02        0.5         0           0.5        
465.385     0.209375    0.03        0.5         0           0.5        
465.385     0.209375    0.04        0.5         0           0.5        
465.385     0.209375    0.045       0.5         0           0.5        
465.385     0.209375    0.051       0.5         0           0.5        
465.385     0.209375    0.055       0.5         0           0.5        
465.385     0.209375    0.06        0.5         0           0.5        
465.385     0.209375    0.07        0.5         0           0.5        
465.385     0.209375    0.08        0.5         0           0.5        
465.385     0.209375    0.09        0.5         0           0.5        
465.385     0.209375    0.1         0.5         0           0.5        
465.385     0.209375    0.15        0.5         0           0.5        
465.385     0.209375    0.2         0.5         0           0.5        
465.385     0.2625      0.02        0.5         0           0.5        
465.385     0.2625      0.03        0.5         0           0.5        
465.385     0.2625      0.04        0.5         0           0.5        
465.385     0.2625      0.045       0.5         0           0.5        
465.385     0.2625      0.051       0.5         0           0.5        
465.385     0.2625      0.055       0.5         0           0.5        
465.385     0.2625      0.06        0.5         0           0.5        
465.385     0.2625      0.07        0.5         0           0.5        
465.385     0.2625      0.08        0.5         0           0.5        
465.385     0.2625      0.09        0.5         0           0.5        
465.385     0.2625      0.1         0.5         0           0.5        
465.385     0.2625      0.15        0.5         0           0.5        
465.385     0.2625      0.2         0.5         0           0.5        
465.385     0.315625    0.02        0.5         0           0.5        
465.385     0.315625    0.03        0.5         0           0.5        
465.385     0.315625    0.04        0.5         0           0.5        
465.385     0.315625    0.045       0.5         0           0.5        
465.385     0.315625    0.051       0.5         0           0.5        
465.385     0.315625    0.055       0.5         0           0.5        
465.385     0.315625    0.06        0.5         0           0.5        
465.385     0.315625    0.07        0.5         0           0.5        
465.385     0.315625    0.08        0.5         0           0.5        
465.385     0.315625    0.09        0.5         0           0.5        
465.385     0.315625    0.1         0.5         0           0.5        
465.385     0.315625    0.15        0.5         0           0.5        
465.385     0.315625    0.2         0.5         0           0.5        
465.385     0.36875     0.02        0.5         0           0.5        
465.385     0.36875     0.03        0.5         0           0.5        
465.385     0.36875     0.04        0.5         0           0.5        
465.385     0.36875     0.045       0.5         0           0.5        
465.385     0.36875     0.051       0.5         0           0.5        
465.385     0.36875     0.055       0.5         0           0.5        
465.385     0.36875     0.06        0.5         0           0.5        
465.385     0.36875     0.07        0.5         0           0.5        
465.385     0.36875     0.08        0.5         0           0.5        
465.385     0.36875     0.09        0.5         0           0.5        
465.385     0.36875     0.1         0.5         0           0.5        
465.385     0.36875     0.15        0.5         0           0.5        
465.385     0.36875     0.2         0.5         0           0.5        
465.385     0.421875    0.02        0.5         0           0.5        
465.385     0.421875    0.03        0.5         0           0.5        
465.385     0.421875    0.04        0.5         0           0.5        
465.385     0.421875    0.045       0.5         0           0.5        
465.385     0.421875    0.051       0.5         0           0.5        
465.385     0.421875    0.055       0.5         0           0.5        
465.385     0.421875    0.06        0.5         0           0.5        
465.385     0.421875    0.07        0.5         0           0.5        
465.385     0.421875    0.08        0.5         0           0.5        
465.385     0.421875    0.09        0.5         0           0.5        
465.385     0.421875    0.1         0.5         0           0.5        
465.385     0.421875    0.15        0.5         0           0.5        
465.385     0.421875    0.2         0.5         0           0.5        
465.385     0.475       0.02        0.5         0           0.5        
465.385     0.475       0.03        0.5         0           0.5        
465.385     0.475       0.04        0.5         0           0.5        
465.385     0.475       0.045       0.5         0           0.5        
465.385     0.475       0.051       0.5         0           0.5        
465.385     0.475       0.055       0.5         0           0.5        
465.385     0.475       0.06        0.5         0           0.5        
465.385     0.475       0.07        0.5         0           0.5        
465.385     0.475       0.08        0.5         0           0.5        
465.385     0.475       0.09        0.5         0           0.5        
465.385     0.475       0.1         0.5         0           0.5        
465.385     0.475       0.15        0.5         0           0.5        
465.385     0.475       0.2         0.5         0           0.5        
465.385     0.528125    0.02        0.5         0           0.5        
465.385     0.528125    0.03        0.5         0           0.5        
465.385     0.528125    0.04        0.5         0           0.5        
465.385     0.528125    0.045       0.5         0           0.5        
465.385     0.528125    0.051       0.5         0           0.5        
465.385     0.528125    0.055       0.5         0           0.5        
465.385     0.528125    0.06        0.5         0           0.5        
465.385     0.528125    0.07        0.5         0           0.5        
465.385     0.528125    0.08        0.5         0           0.5        
465.385     0.528125    0.09        0.5         0           0.5        
465.385     0.528125    0.1         0.5         0           0.5        
465.385     0.528125    0.15        0.5         0           0.5        
465.385     0.528125    0.2         0.5         0           0.5        
465.385     0.58125     0.02        0.5         0           0.5        
465.385     0.58125     0.03        0.5         0           0.5        
465.385     0.58125     0.04        0.5         0           0.5        
465.385     0.58125     0.045       0.5         0           0.5        
465.385     0.58125     0.051       0.5         0           0.5        
465.385     0.58125     0.055       0.5         0           0.5        
465.385     0.58125     0.06        0.5         0           0.5        
465.385     0.58125     0.07        0.5         0           0.5        
465.385     0.58125     0.08        0.5         0           0.5        
465.385     0.58125     0.09        0.5         0           0.5        
465.385     0.58125     0.1         0.5         0           0.5        
465.385     0.58125     0.15        0.5         0           0.5        
465.385     0.58125     0.2         0.5         0           0.5        
465.385     0.634375    0.02        0.5         0           0.5        
465.385     0.634375    0.03        0.5         0           0.5        
465.385     0.634375    0.04        0.5         0           0.5        
465.385     0.634375    0.045       0.5         0           0.5        
465.385     0.634375    0.051       0.5         0           0.5        
465.385     0.634375    0.055       0.5         0           0.5        
465.385     0.634375    0.06        0.5         0           0.5        
465.385     0.634375    0.07        0.5         0           0.5        
465.385     0.634375    0.08        0.5         0           0.5        
465.385     0.634375    0.09        0.5         0           0.5        
465.385     0.634375    0.1         0.5         0           0.5        
465.385     0.634375    0.15        0.5         0           0.5        
465.385     0.634375    0.2         0.5         0           0.5        
465.385     0.6875      0.02        0.5         0           0.5        
465.385     0.6875      0.03        0.5         0           0.5        
465.385     0.6875      0.04        0.5         0           0.5        
465.385     0.6875      0.045       0.5         0           0.5        
465.385     0.6875      0.051       0.5         0           0.5        
465.385     0.6875      0.055       0.5         0           0.5        
465.385     0.6875      0.06        0.5         0           0.5        
465.385     0.6875      0.07        0.5         0           0.5        
465.385     0.6875      0.08        0.5         0           0.5        
465.385     0.6875      0.09        0.5         0           0.5        
465.385     0.6875      0.1         0.5         0           0.5        
465.385     0.6875      0.15        0.5         0           0.5        
465.385     0.6875      0.2         0.5         0           0.5        
465.385     0.740625    0.02        0.5         0           0.5        
465.385     0.740625    0.03        0.5         0           0.5        
465.385     0.740625    0.04        0.5         0           0.5        
465.385     0.740625    0.045       0.5         0           0.5        
465.385     0.740625    0.051       0.5         0           0.5        
465.385     0.740625    0.055       0.5         0           0.5        
465.385     0.740625    0.06        0.5         0           0.5        
465.385     0.740625    0.07        0.5         0           0.5        
465.385     0.740625    0.08        0.5         0           0.5        
465.385     0.740625    0.09        0.5         0           0.5        
465.385     0.740625    0.1         0.5         0           0.5        
465.385     0.740625    0.15        0.5         0           0.5        
465.385     0.740625    0.2         0.5         0           0.5        
465.385     0.79375     0.02        0.5         0           0.5        
465.385     0.79375     0.03        0.5         0           0.5        
465.385     0.79375     0.04        0.5         0           0.5        
465.385     0.79375     0.045       0.5         0           0.5        
465.385     0.79375     0.051       0.5         0           0.5        
465.385     0.79375     0.055       0.5         0           0.5        
465.385     0.79375     0.06        0.5         0           0.5        
465.385     0.79375     0.07        0.5         0           0.5        
465.385     0.79375     0.08        0.5         0           0.5        
465.385     0.79375     0.09        0.5         0           0.5        
465.385     0.79375     0.1         0.5         0           0.5        
465.385     0.79375     0.15        0.5         0           0.5        
465.385     0.79375     0.2         0.5         0           0.5        
465.385     0.846875    0.02        0.5         0           0.5        
465.385     0.846875    0.03        0.5         0           0.5        
465.385     0.846875    0.04        0.5         0           0.5        
465.385     0.846875    0.045       0.5         0           0.5        
465.385     0.846875    0.051       0.5         0           0.5        
465.385     0.846875    0.055       0.5         0           0.5        
465.385     0.846875    0.06        0.5         0           0.5        
465.385     0.846875    0.07        0.5         0           0.5        
465.385     0.846875    0.08        0.5         0           0.5        
465.385     0.846875    0.09        0.5         0           0.5        
465.385     0.846875    0.1         0.5         0           0.5        
465.385     0.846875    0.15        0.5         0           0.5        
465.385     0.846875    0.2         0.5         0           0.5        
465.385     0.9         0.02        0.5         0           0.5        
465.385     0.9         0.03        0.5         0           0.5        
465.385     0.9         0.04        0.5         0           0.5        
465.385     0.9         0.045       0.5         0           0.5        
465.385     0.9         0.051       0.5         0           0.5        
465.385     0.9         0.055       0.5         0           0.5        
465.385     0.9         0.06        0.5         0           0.5        
465.385     0.9         0.07        0.5         0           0.5        
465.385     0.9         0.08        0.5         0           0.5        
465.385     0.9         0.09        0.5         0           0.5        
465.385     0.9         0.1         0.5         0           0.5        
465.385     0.9         0.15        0.5         0           0.5        
465.385     0.9         0.2         0.5         0           0.5        
430.769     0.05        0.02        0.5         0           0.5        
430.769     0.05        0.03        0.5         0           0.5        
430.769     0.05        0.04        0.5         0           0.5        
430.769     0.05        0.045       0.5         0           0.5        
430.769     0.05        0.051       0.5         0           0.5        
430.769     0.05        0.055       0.5         0           0.5        
430.769     0.05        0.06        0.5         0           0.5        
430.769     0.05        0.07        0.5         0           0.5        
430.769     0.05        0.08        0.5         0           0.5        
430.769     0.05        0.09        0.5         0           0.5        
430.769     0.05        0.1         0.5         0           0.5        
430.769     0.05        0.15        0.5         0           0.5        
430.769     0.05        0.2         0.5         0           0.5        
430.769     0.103125    0.02        0.5         0           0.5        
430.769     0.103125    0.03        0.5         0           0.5        
430.769     0.103125    0.04        0.5         0           0.5        
430.769     0.103125    0.045       0.5         0           0.5        
430.769     0.103125    0.051       0.5         0           0.5        
430.769     0.103125    0.055       0.5         0           0.5        
430.769     0.103125    0.06        0.5         0           0.5        
430.769     0.103125    0.07        0.5         0           0.5        
430.769     0.103125    0.08        0.5         0           0.5        
430.769     0.103125    0.09        0.5         0           0.5        
430.769     0.103125    0.1         0.5         0           0.5        
430.769     0.103125    0.15        0.5         0           0.5        
430.769     0.103125    0.2         0.5         0           0.5        
430.769     0.15625     0.02        0.5         0           0.5        
430.769     0.15625     0.03        0.5         0           0.5        
430.769     0.15625     0.04        0.5         0           0.5        
430.769     0.15625     0.045       0.5         0           0.5        
430.769     0.15625     0.051       0.5         0           0.5        
430.769     0.15625     0.055       0.5         0           0.5        
430.769     0.15625     0.06        0.5         0           0.5        
430.769     0.15625     0.07        0.5         0           0.5        
430.769     0.15625     0.08        0.5         0           0.5        
430.769     0.15625     0.09        0.5         0           0.5        
430.769     0.15625     0.1         0.5         0           0.5        
430.769     0.15625     0.15        0.5         0           0.5        
430.769     0.15625     0.2         0.5         0           0.5        
430.769     0.209375    0.02        0.5         0           0.5        
430.769     0.209375    0.03        0.5         0           0.5        
430.769     0.209375    0.04        0.5         0           0.5        
430.769     0.209375    0.045       0.5         0           0.5        
430.769     0.209375    0.051       0.5         0           0.5        
430.769     0.209375    0.055       0.5         0           0.5        
430.769     0.209375    0.06        0.5         0           0.5        
430.769     0.209375    0.07        0.5         0           0.5        
430.769     0.209375    0.08        0.5         0           0.5        
430.769     0.209375    0.09        0.5         0           0.5        
430.769     0.209375    0.1         0.5         0           0.5        
430.769     0.209375    0.15        0.5         0           0.5        
430.769     0.209375    0.2         0.5         0           0.5        
430.769     0.2625      0.02        0.5         0           0.5        
430.769     0.2625      0.03        0.5         0           0.5        
430.769     0.2625      0.04        0.5         0           0.5        
430.769     0.2625      0.045       0.5         0           0.5        
430.769     0.2625      0.051       0.5         0           0.5        
430.769     0.2625      0.055       0.5         0           0.5        
430.769     0.2625      0.06        0.5         0           0.5        
430.769     0.2625      0.07        0.5         0           0.5        
430.769     0.2625      0.08        0.5         0           0.5        
430.769     0.2625      0.09        0.5         0           0.5        
430.769     0.2625      0.1         0.5         0           0.5        
430.769     0.2625      0.15        0.5         0           0.5        
430.769     0.2625      0.2         0.5         0           0.5        
430.769     0.315625    0.02        0.5         0           0.5        
430.769     0.315625    0.03        0.5         0           0.5        
430.769     0.315625    0.04        0.5         0           0.5        
430.769     0.315625    0.045       0.5         0           0.5        
430.769     0.315625    0.051       0.5         0           0.5        
430.769     0.315625    0.055       0.5         0           0.5        
430.769     0.315625    0.06        0.5         0           0.5        
430.769     0.315625    0.07        0.5         0           0.5        
430.769     0.315625    0.08        0.5         0           0.5        
430.769     0.315625    0.09        0.5         0           0.5        
430.769     0.315625    0.1         0.5         0           0.5        
430.769     0.315625    0.15        0.5         0           0.5        
430.769     0.315625    0.2         0.5         0           0.5        
430.769     0.36875     0.02        0.5         0           0.5        
430.769     0.36875     0.03        0.5         0           0.5        
430.769     0.36875     0.04        0.5         0           0.5        
430.769     0.36875     0.045       0.5         0           0.5        
430.769     0.36875     0.051       0.5         0           0.5        
430.769     0.36875     0.055       0.5         0           0.5        
430.769     0.36875     0.06        0.5         0           0.5        
430.769     0.36875     0.07        0.5         0           0.5        
430.769     0.36875     0.08        0.5         0           0.5        
430.769     0.36875     0.09        0.5         0           0.5        
430.769     0.36875     0.1         0.5         0           0.5        
430.769     0.36875     0.15        0.5         0           0.5        
430.769     0.36875     0.2         0.5         0           0.5        
430.769     0.421875    0.02        0.5         0           0.5        
430.769     0.421875    0.03        0.5         0           0.5        
430.769     0.421875    0.04        0.5         0           0.5        
430.769     0.421875    0.045       0.5         0           0.5        
430.769     0.421875    0.051       0.5         0           0.5        
430.769     0.421875    0.055       0.5         0           0.5        
430.769     0.421875    0.06        0.5         0           0.5        
430.769     0.421875    0.07        0.5         0           0.5        
430.769     0.421875    0.08        0.5         0           0.5        
430.769     0.421875    0.09        0.5         0           0.5        
430.769     0.421875    0.1         0.5         0           0.5        
430.769     0.421875    0.15        0.5         0           0.5        
430.769     0.421875    0.2         0.5         0           0.5        
430.769     0.475       0.02        0.5         0           0.5        
430.769     0.475       0.03        0.5         0           0.5        
430.769     0.475       0.04        0.5         0           0.5        
430.769     0.475       0.045       0.5         0           0.5        
430.769     0.475       0.051       0.5         0           0.5        
430.769     0.475       0.055       0.5         0           0.5        
430.769     0.475       0.06        0.5         0           0.5        
430.769     0.475       0.07        0.5         0           0.5        
430.769     0.475       0.08        0.5         0           0.5        
430.769     0.475       0.09        0.5         0           0.5        
430.769     0.475       0.1         0.5         0           0.5        
430.769     0.475       0.15        0.5         0           0.5        
430.769     0.475       0.2         0.5         0           0.5        
430.769     0.528125    0.02        0.5         0           0.5        
430.769     0.528125    0.03        0.5         0           0.5        
430.769     0.528125    0.04        0.5         0           0.5        
430.769     0.528125    0.045       0.5         0           0.5        
430.769     0.528125    0.051       0.5         0           0.5        
430.769     0.528125    0.055       0.5         0           0.5        
430.769     0.528125    0.06        0.5         0           0.5        
430.769     0.528125    0.07        0.5         0           0.5        
430.769     0.528125    0.08        0.5         0           0.5        
430.769     0.528125    0.09        0.5         0           0.5        
430.769     0.528125    0.1         0.5         0           0.5        
430.769     0.528125    0.15        0.5         0           0.5        
430.769     0.528125    0.2         0.5         0           0.5        
430.769     0.58125     0.02        0.5         0           0.5        
430.769     0.58125     0.03        0.5         0           0.5        
430.769     0.58125     0.04        0.5         0           0.5        
430.769     0.58125     0.045       0.5         0           0.5        
430.769     0.58125     0.051       0.5         0           0.5        
430.769     0.58125     0.055       0.5         0           0.5        
430.769     0.58125     0.06        0.5         0           0.5        
430.769     0.58125     0.07        0.5         0           0.5        
430.769     0.58125     0.08        0.5         0           0.5        
430.769     0.58125     0.09        0.5         0           0.5        
430.769     0.58125     0.1         0.5         0           0.5        
430.769     0.58125     0.15        0.5         0           0.5        
430.769     0.58125     0.2         0.5         0           0.5        
430.769     0.634375    0.02        0.5         0           0.5        
430.769     0.634375    0.03        0.5         0           0.5        
430.769     0.634375    0.04        0.5         0           0.5        
430.769     0.634375    0.045       0.5         0           0.5        
430.769     0.634375    0.051       0.5         0           0.5        
430.769     0.634375    0.055       0.5         0           0.5        
430.769     0.634375    0.06        0.5         0           0.5        
430.769     0.634375    0.07        0.5         0           0.5        
430.769     0.634375    0.08        0.5         0           0.5        
430.769     0.634375    0.09        0.5         0           0.5        
430.769     0.634375    0.1         0.5         0           0.5        
430.769     0.634375    0.15        0.5         0           0.5        
430.769     0.634375    0.2         0.5         0           0.5        
430.769     0.6875      0.02        0.5         0           0.5        
430.769     0.6875      0.03        0.5         0           0.5        
